,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
426,Mike Boone,MIN,25,,16,0,2,2,100.0%,10,5.0,0,0,6,5.0,0.1,0.6,0
427,Daniel Brown,NYJ,28,wr,16,1,2,2,100.0%,31,15.5,0,2,18,15.5,0.1,1.9,0
428,Jake Butt,DEN,25,te,5,1,4,2,50.0%,5,2.5,0,0,5,1.3,0.4,1.0,0
429,Jason Cabinda,DET,24,mlb,16,2,3,2,66.7%,8,4.0,0,1,4,2.7,0.1,0.5,0
430,Lawrence Cager,NYJ,23,wr,2,1,6,2,33.3%,35,17.5,0,2,19,5.8,1.0,17.5,0
431,Antonio Callaway,MIA,23,wr,5,1,4,2,50.0%,20,10.0,0,1,13,5.0,0.4,4.0,0
432,,,,,,,,,,,,,,,,,,
433,Chandler Cox,MIA,24,,8,3,2,2,100.0%,9,4.5,0,1,6,4.5,0.3,1.1,0
434,Dominique Dafney,GNB,23,te,5,2,2,2,100.0%,26,13.0,1,2,13,13.0,0.4,5.2,0
435,AJ Dillon,GNB,22,,11,0,2,2,100.0%,21,10.5,0,1,16,10.5,0.2,1.9,0
436,Darrynton Evans ,TEN,22,,5,0,4,2,50.0%,27,13.5,1,2,24,6.8,0.4,5.4,0
437,Robert Foster,WAS,26,wr,4,2,6,2,33.3%,37,18.5,0,2,28,6.2,0.5,9.3,0
438,Daurice Fountain,IND,25,,5,0,3,2,66.7%,23,11.5,0,2,12,7.7,0.4,4.6,0
439,Bennie Fowler,NOR,29,,5,0,6,2,33.3%,11,5.5,0,1,7,1.8,0.4,2.2,0
440,Reggie Gilliam,BUF,23,,14,0,2,2,100.0%,16,8.0,1,2,15,8.0,0.1,1.1,0
441,Andy Janovich,CLE,27,fb,14,3,5,2,40.0%,13,6.5,0,1,13,2.6,0.1,0.9,0
442,Lamar Miller,CHI,29,,1,0,2,2,100.0%,6,3.0,0,1,7,3.0,2.0,6.0,0
443,Cam Newton,NWE,31,QB,15,15,2,2,100.0%,35,17.5,1,2,19,17.5,0.1,2.3,6
444,Colby Parkinson,SEA,21,,6,0,2,2,100.0%,16,8.0,0,2,10,8.0,0.3,2.7,0
445,Elijhaa Penny,NYG,27,,14,0,3,2,66.7%,20,10.0,0,1,11,6.7,0.1,1.4,0
446,John Ross ,CIN,25,wr,3,1,7,2,28.6%,17,8.5,0,1,15,2.4,0.7,5.7,0
447,Isaiah Zuber,NWE,23,,4,0,2,2,100.0%,29,14.5,0,1,16,14.5,0.5,7.3,0
448,Josh Allen *,BUF,24,QB,16,16,1,1,100.0%,12,12.0,1,1,12,12.0,0.1,0.8,9
449,Marcus Baugh,WAS,26,te,8,1,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.3,0
450,LeVante Bellamy,DEN,24,,5,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.2,1.0,0
451,Nick Bellore*,SEA,31,,16,0,1,1,100.0%,9,9.0,0,1,9,9.0,0.1,0.6,0
452,Hunter Bryant,DET,22,,5,0,3,1,33.3%,44,44.0,0,1,44,14.7,0.2,8.8,0
453,Stephen Carlson,CLE,24,te,16,2,2,1,50.0%,11,11.0,0,1,11,5.5,0.1,0.7,0
454,Derek Carrier,LVR,30,,16,0,1,1,100.0%,14,14.0,0,1,14,14.0,0.1,0.9,0
455,DeAndre Carter ,2TM,27,,13,0,2,1,50.0%,8,8.0,0,0,8,4.0,0.1,0.6,2
456,Alex Collins,SEA,26,,3,1,2,1,50.0%,4,4.0,0,0,4,2.0,0.3,1.3,0
457,Jason Croom,PHI,26,,4,0,1,1,100.0%,3,3.0,1,1,3,3.0,0.3,0.8,0
458,Andy Dalton,DAL,33,qb,11,9,1,1,100.0%,-3,-3.0,0,0,-3,-3.0,0.1,-0.3,2
459,Josiah Deguara ,GNB,23,te,2,1,2,1,50.0%,12,12.0,0,1,12,6.0,0.5,6.0,0
460,Gehrig Dieter ,KAN,27,,4,0,2,1,50.0%,10,10.0,0,1,10,5.0,0.3,2.5,0
461,Brandon Dillon,MIN,23,,3,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.3,2.0,0
462,Ben Ellefson,JAX,24,te,7,4,4,1,25.0%,10,10.0,0,1,10,2.5,0.1,1.4,0
463,,,,,,,,,,,,,,,,,,
464,Eric Fisher*,KAN,29,T,15,15,1,1,100.0%,2,2.0,1,1,2,2.0,0.1,0.1,0
465,Ryan Fitzpatrick,MIA,38,qb,9,7,1,1,100.0%,0,0.0,0,0,0,0.0,0.1,0.0,2
466,D'Onta Foreman,TEN,24,,6,0,1,1,100.0%,5,5.0,1,1,5,5.0,0.2,0.8,0
467,D.J. Foster ,ARI,27,,10,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.1,0.7,0
468,Antonio Gandy-Golden,WAS,22,wr,6,2,7,1,14.3%,3,3.0,0,0,3,0.4,0.2,0.5,0
469,Cullen Gillaspia,HOU,25,,7,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.9,0
470,Penny Hart,SEA,24,,13,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.2,0
471,Temarrick Hemingway,WAS,27,,8,0,2,1,50.0%,10,10.0,0,1,10,5.0,0.1,1.3,0
472,Dontrell Hilliard,2TM,25,,7,0,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.3,0
473,Cody Hollister ,TEN,27,,2,0,1,1,100.0%,12,12.0,0,1,12,12.0,0.5,6.0,0
474,Jordan Howard,2TM,26,,7,4,1,1,100.0%,-3,-3.0,0,0,0,-3.0,0.1,-0.4,1
475,Buddy Howell ,HOU,24,,14,0,2,1,50.0%,3,3.0,0,0,3,1.5,0.1,0.2,0
476,Jason Huntley,PHI,22,,5,0,2,1,50.0%,0,0.0,0,0,0,0.0,0.2,0.0,0
477,Jalen Hurts ,PHI,22,qb,15,4,1,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.2,9
478,Trenton Irwin,CIN,25,,1,0,2,1,50.0%,5,5.0,0,0,5,2.5,1.0,5.0,0
479,Blake Jarwin,DAL,26,te,1,1,1,1,100.0%,12,12.0,0,1,12,12.0,1.0,12.0,0
480,Marcus Kemp,2TM,25,,11,0,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,1.0,0
481,Adrian Killins,PHI,22,,1,0,1,1,100.0%,2,2.0,0,0,2,2.0,1.0,2.0,0
482,Keith Kirkwood,CAR,26,,1,0,2,1,50.0%,13,13.0,0,0,13,6.5,1.0,13.0,0
483,Jake Kumerow,BUF,28,,6,0,1,1,100.0%,22,22.0,1,1,22,22.0,0.2,3.7,0
484,Kendall Lamm,CLE,28,t,15,1,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0
485,Tommylee Lewis,NOR,28,,5,0,3,1,33.3%,5,5.0,0,0,5,1.7,0.2,1.0,0
486,Bobby Massie,CHI,31,t,8,8,1,1,100.0%,4,4.0,0,1,4,4.0,0.1,0.5,0
487,Baker Mayfield,CLE,25,QB,16,16,1,1,100.0%,6,6.0,0,1,6,6.0,0.1,0.4,8
488,Bruce Miller,JAX,33,,8,5,2,1,50.0%,2,2.0,0,1,2,1.0,0.1,0.3,0
