,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
296,O.J. Howard ,TAM,26,te,4,1,19,11,57.9%,146,13.3,2,8,33,7.7,2.8,36.5,0
297,Albert Okwuegbunam ,DEN,22,,4,0,15,11,73.3%,121,11.0,1,6,27,8.1,2.8,30.3,0
298,La'Mical Perine ,NYJ,22,,10,0,15,11,73.3%,63,5.7,0,3,14,4.2,1.1,6.3,0
299,Samaje Perine,CIN,25,rb,16,1,12,11,91.7%,66,6.0,0,4,15,5.5,0.7,4.1,0
300,Keith Smith,ATL,28,fb,16,7,15,11,73.3%,59,5.4,0,4,13,3.9,0.7,3.7,0
301,Kenny Stills,HOU,28,,10,0,19,11,57.9%,144,13.1,1,8,24,7.6,1.1,14.4,0
302,De'Michael Harris,IND,22,,7,0,10,10,100.0%,79,7.9,0,3,21,7.9,1.4,11.3,0
303,John Hightower,PHI,24,wr,13,4,29,10,34.5%,167,16.7,0,5,59,5.8,0.8,12.8,0
304,Patrick Laird,MIA,25,,16,0,12,10,83.3%,68,6.8,0,3,17,5.7,0.6,4.3,1
305,Marcedes Lewis,GNB,36,TE,15,15,17,10,58.8%,107,10.7,3,6,36,6.3,0.7,7.1,0
306,Dare Ogunbowale,JAX,26,rb,14,2,20,10,50.0%,54,5.4,0,4,12,2.7,0.7,3.9,0
307,Donald Parham,LAC,23,te,13,5,20,10,50.0%,159,15.9,3,8,26,8.0,0.8,12.2,0
308,,,,,,,,,,,,,,,,,,
309,Benny Snell Jr.,PIT,22,rb,16,3,14,10,71.4%,61,6.1,0,3,14,4.4,0.6,3.8,2
310,Trent Taylor,SFO,26,wr,12,1,21,10,47.6%,86,8.6,0,5,29,4.1,0.8,7.2,0
311,Matt Breida,MIA,25,rb,12,1,10,9,90.0%,96,10.7,0,5,31,9.6,0.8,8.0,2
312,Gus Edwards ,BAL,25,rb,16,6,13,9,69.2%,129,14.3,0,4,34,9.9,0.6,8.1,1
313,Ryan Griffin,NYJ,30,te,15,6,12,9,75.0%,86,9.6,0,4,23,7.2,0.6,5.7,0
314,Travis Homer,SEA,22,,9,0,10,9,90.0%,90,10.0,1,4,50,9.0,1.0,10.0,0
315,Devine Ozigbo,JAX,24,,8,0,9,9,100.0%,42,4.7,0,3,12,4.7,1.1,5.3,0
316,Malcolm Perry,MIA,23,rb,9,2,13,9,69.2%,92,10.2,1,4,25,7.1,1.0,10.2,1
