,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
241,Bryce Hall,NYJ,23,db,8,7,1,20,0,20,3,,,,,,0.0,36,33,3,1,0,
242,Terez Hall,NWE,24,olb,8,4,0,0,0,0,2,,,,,,0.0,50,33,17,0,0,
243,Sam Hubbard,CIN,25,DE,13,13,0,0,0,0,3,1,0,0,0,0,2.0,62,33,29,5,11,
244,Linval Joseph,LAC,32,NT,16,16,,,,,,,,,,,0.0,62,33,29,3,2,
245,Jimmy Moreland,WAS,25,cb,16,5,1,32,0,32,1,1,0,0,0,0,0.5,44,33,11,1,2,
246,Ryan Neal,SEA,25,cb,13,4,2,1,0,1,5,,,,,,0.0,44,33,11,3,0,1
247,,,,,,,,,,,,,,,,,,,,,,,
248,Elandon Roberts,MIA,26,ILB,13,11,,,,,,1,0,1,0,0,1.5,61,33,28,8,4,
249,Bradley Roby,HOU,28,cb,10,10,1,0,0,0,7,0,0,1,0,0,0.0,37,33,4,2,0,
250,Juan Thornhill,KAN,25,fs,16,8,1,20,0,20,3,,,,,,0.0,41,33,8,0,1,
251,Stephon Tuitt,PIT,27,DE,15,15,0,0,0,0,3,2,0,0,0,0,11.0,45,33,12,10,25,
252,Chase Winovich,NWE,25,de,16,9,1,0,0,0,2,1,0,0,0,0,5.5,48,33,15,6,12,
253,Mackensie Alexander,CIN,27,cb,13,10,1,21,0,21,6,,,,,,0.0,47,32,15,1,0,
254,Anthony Brown,DAL,27,cb,10,8,2,14,0,14,3,0,0,1,29,1,1.0,39,32,7,1,1,
255,L.J. Fort,BAL,30,olb,14,8,0,0,0,0,2,1,0,2,24,1,0.0,53,32,21,2,1,
256,Nathan Gerry,PHI,25,olb,7,7,0,0,0,0,2,,,,,,1.0,57,32,25,4,2,
257,Christian Jones,DET,29,OLB,16,13,0,0,0,0,1,,,,,,0.0,57,32,25,2,1,
258,Matt Judon*,BAL,28,OLB,14,13,0,0,0,0,2,,,,,,6.0,50,32,18,9,21,1
259,Romeo Okwara,DET,25,de,16,9,0,0,0,0,1,3,0,1,0,0,10.0,44,32,12,11,18,1
260,Taylor Rapp,LAR,23,ss,9,5,1,0,0,0,3,1,0,0,0,0,0.0,44,32,12,1,0,
261,Chandon Sullivan,GNB,24,cb,16,10,1,7,1,7,6,,,,,,0.0,41,32,9,0,0,
262,Jahlani Tavai,DET,24,mlb,16,10,,,,,,2,0,1,0,0,0.0,58,32,26,2,1,
263,Leighton Vander Esch,DAL,24,olb,10,10,,,,,,1,0,0,0,0,1.0,60,32,28,1,1,
264,Quinnen Williams,NYJ,23,NT,13,13,0,0,0,0,3,2,0,0,0,0,7.0,55,32,23,10,14,
265,Chase Young *,WAS,21,DE,15,15,0,0,0,0,4,4,0,3,57,1,7.5,44,32,12,10,12,
266,Leonard Floyd ,LAR,28,OLB,16,16,0,0,0,0,1,1,0,2,0,0,10.5,55,31,24,11,19,
267,Aldon Smith,DAL,31,DE,16,16,0,0,0,0,2,0,0,2,78,1,5.0,48,31,17,5,14,
268,L'Jarius Sneed,KAN,23,cb,9,6,3,42,0,39,7,,,,,,2.0,41,31,10,2,3,
269,Mykal Walker ,ATL,23,olb,16,6,0,0,0,0,1,1,0,0,0,0,0.0,45,31,14,1,2,
270,P.J. Williams,NOR,27,fs,15,3,1,30,0,30,2,0,0,2,0,0,0.0,40,31,9,0,0,
271,Kenny Young,LAR,26,ilb,16,6,1,79,1,79,2,0,0,1,0,0,1.0,52,31,21,3,2,
272,Bashaud Breeland,KAN,28,CB,11,11,2,29,0,29,9,1,0,1,0,0,0.0,38,30,8,1,0,
273,Stephon Gilmore*,NWE,30,CB,11,11,1,15,0,15,3,1,0,0,0,0,0.0,37,30,7,1,0,
274,Cameron Heyward*,PIT,31,DT,15,15,1,0,0,0,3,,,,,,4.0,54,30,24,7,19,
275,Akiem Hicks,CHI,31,DT,15,15,0,0,0,0,1,0,0,1,4,0,3.5,49,30,19,7,21,
276,Alex Highsmith ,PIT,23,olb,16,5,1,2,0,2,1,,,,,,2.0,48,30,18,5,6,
277,Kerry Hyder,SFO,29,DE,16,14,,,,,,0,0,1,14,0,8.5,49,30,19,10,18,
278,,,,,,,,,,,,,,,,,,,,,,,
279,Dexter Lawrence,NYG,23,DE,16,15,0,0,0,0,2,,,,,,4.0,53,30,23,6,10,
280,David Long ,TEN,24,ilb,14,5,0,0,0,0,2,1,0,0,0,0,0.0,54,30,24,2,0,
281,Jason McCourty,NWE,33,CB,16,11,0,0,0,0,3,,,,,,0.0,42,30,12,0,0,
282,Darius Phillips,CIN,25,cb,12,8,1,21,0,21,12,2,0,0,0,0,0.0,38,30,8,2,2,
283,Reggie Ragland,DET,27,mlb,16,6,0,0,0,0,1,1,0,0,0,0,1.0,52,30,22,4,3,
284,Duke Riley,PHI,26,olb,13,8,1,7,0,7,1,1,0,0,0,0,0.5,55,30,25,2,1,
285,Zach Sieler,MIA,25,de,16,8,,,,,,,,,,,3.5,48,30,18,11,11,
286,Joe Thomas,DAL,29,ilb,15,4,0,0,0,0,2,,,,,,0.0,48,30,18,3,2,
287,Darian Thompson,DAL,27,fs,15,7,1,3,0,3,1,1,0,0,0,0,0.0,43,30,13,0,1,
288,Arik Armstead,SFO,27,DE,16,16,0,0,0,0,3,,,,,,3.5,49,29,20,6,13,
289,Chidobe Awuzie,DAL,25,cb,8,6,1,0,0,0,5,0,0,1,0,0,0.0,38,29,9,0,0,
290,Joey Bosa*,LAC,25,de,12,10,0,0,0,0,1,0,0,1,0,0,7.5,39,29,10,15,27,
291,Willie Gay Jr.,KAN,22,olb,16,8,0,0,0,0,3,1,0,0,0,0,1.0,39,29,10,3,1,
292,DaQuan Jones,TEN,29,NT,16,16,,,,,,1,0,0,0,0,2.0,49,29,20,4,6,
293,Khalil Mack*,CHI,29,OLB,16,16,1,33,0,33,3,3,0,2,0,0,9.0,50,29,21,11,13,1
294,Ben Niemann,KAN,25,ilb,15,5,,,,,,1,0,2,0,0,1.0,44,29,15,3,3,
295,Preston Smith,GNB,28,OLB,16,13,0,0,0,0,3,0,0,1,14,1,4.0,42,29,13,7,11,
296,Tavierre Thomas,CLE,24,cb,16,3,,,,,,1,0,1,0,0,1.0,30,29,1,2,1,
297,Andrew Van Ginkel,MIA,25,OLB,16,11,0,0,0,0,4,3,0,1,78,1,5.5,48,29,19,7,10,
298,Nick Vigil,LAC,27,olb,15,2,0,0,0,0,1,1,0,2,44,0,2.0,50,29,21,3,0,
299,Leonard Williams,NYG,26,DT,16,12,0,0,0,0,1,0,0,1,0,0,11.5,57,29,28,14,30,
300,Isaac Yiadom,NYG,24,cb,16,10,0,0,0,0,5,1,0,0,0,0,0.5,46,29,17,0,1,
301,Kenny Clark,GNB,25,NT,13,13,,,,,,,,,,,2.0,42,28,14,3,6,
302,Fletcher Cox*,PHI,30,DT,15,15,0,0,0,0,1,1,0,0,0,0,6.5,41,28,13,9,9,
303,Darqueze Dennard ,ATL,29,cb,8,6,1,0,0,0,5,,,,,,0.0,36,28,8,2,0,
304,Quinton Dunbar,SEA,28,cb,6,6,1,0,0,0,5,,,,,,0.0,30,28,2,2,0,
305,Corn Elder,CAR,26,cb,16,1,0,0,0,0,3,1,0,0,0,0,0.0,40,28,12,1,0,
306,Raven Greene,GNB,25,,10,0,1,17,0,17,5,1,0,0,0,0,1.5,44,28,16,1,3,
307,Jeff Heath,LVR,29,ss,13,5,3,89,0,47,4,,,,,,0.0,37,28,9,1,1,
308,Byron Jones,MIA,28,CB,14,14,2,15,0,15,4,1,1,0,0,0,0.0,37,28,9,0,0,
309,,,,,,,,,,,,,,,,,,,,,,,
310,Johnathan Joseph,2TM,36,,11,6,1,5,0,5,6,1,0,0,0,0,0.0,32,28,4,2,0,
311,Montez Sweat,WAS,24,DE,16,16,1,15,1,15,6,2,0,0,0,0,9.0,45,28,17,12,20,
312,Christian Wilkins,MIA,25,DE,14,12,1,8,0,8,5,0,0,1,0,0,1.5,47,28,19,4,3,
313,Aaron Donald*+,LAR,29,DT,16,16,0,0,0,0,1,4,0,1,0,0,13.5,45,27,18,14,28,
314,Rashad Fenton,KAN,23,cb,16,3,1,31,0,31,7,,,,,,0.0,35,27,8,1,0,
315,Johnathan Hankins,LVR,28,DT,16,16,,,,,,0,0,1,0,0,1.0,48,27,21,1,4,
316,Marcell Harris,SFO,26,ss,16,4,0,0,0,0,3,2,0,2,0,0,0.0,37,27,10,0,0,
317,C.J. Henderson ,JAX,22,cb,8,8,1,22,0,22,6,1,0,0,0,0,0.0,36,27,9,0,0,
318,Grady Jarrett*,ATL,27,DT,16,16,,,,,,0,0,1,3,0,4.0,52,27,25,8,21,
319,Will Parks,2TM,26,,10,3,,,,,,,,,,,1.0,31,27,4,3,1,
320,Daron Payne ,WAS,23,DT,16,16,1,0,0,0,4,3,0,1,0,0,3.0,54,27,27,7,8,
321,Troy Pride Jr.,CAR,22,cb,14,8,0,0,0,0,2,,,,,,0.0,42,27,15,1,0,
322,Ndamukong Suh,TAM,33,DE,16,16,0,0,0,0,2,1,0,0,0,0,6.0,44,27,17,9,19,
323,Ty Summers,GNB,25,ilb,16,1,0,0,0,0,1,,,,,,0.0,39,27,12,0,0,
324,Cameron Sutton,PIT,25,cb,16,6,1,0,0,0,8,3,0,1,0,0,1.0,30,27,3,1,0,
325,Tahir Whitehead,CAR,30,mlb,14,9,1,0,0,0,1,0,0,1,10,0,0.0,51,27,24,0,1,
326,Deatrich Wise Jr.,NWE,26,de,16,7,,,,,,0,0,1,0,1,2.5,49,27,22,2,11,
327,Bradley Chubb*,DEN,24,DE,14,14,,,,,,1,0,0,0,0,7.5,42,26,16,9,19,
328,Will Harris,DET,25,ss,16,5,0,0,0,0,1,,,,,,0.0,35,26,9,0,0,
329,Malik Harrison,BAL,22,olb,16,6,0,0,0,0,1,,,,,,0.0,44,26,18,1,0,
330,Lamar Jackson,NYJ,22,db,13,6,0,0,0,0,2,,,,,,0.0,28,26,2,1,0,
331,Dre'Mont Jones,DEN,23,dt,13,8,0,0,0,0,2,,,,,,6.5,41,26,15,7,11,
332,Pernell McPhee,BAL,32,OLB,15,13,0,0,0,0,1,,,,,,3.0,34,26,8,3,15,
333,Troy Apke,WAS,25,fs,16,7,0,0,0,0,2,,,,,,0.0,35,25,10,0,0,
334,T.J. Carrie ,IND,30,cb,15,2,2,47,1,47,8,0,1,1,25,0,0.0,32,25,7,1,0,
335,Ashtyn Davis ,NYJ,24,ss,10,6,0,0,0,0,1,0,0,1,0,0,0.0,36,25,11,1,0,
336,Jarrad Davis,DET,26,mlb,14,4,,,,,,2,0,0,0,0,0.5,46,25,21,1,4,
337,Devante Downs,NYG,25,ilb,16,8,0,0,0,0,1,0,0,1,0,0,0.0,33,25,8,0,1,
338,Poona Ford,SEA,25,NT,16,16,,,,,,1,0,0,0,0,2.0,40,25,15,8,9,
339,Chris Harris Jr.,LAC,31,cb,9,9,1,51,0,51,2,,,,,,0.5,37,25,12,1,1,
340,,,,,,,,,,,,,,,,,,,,,,,
341,Emmanuel Ogbah,MIA,27,DE,16,12,0,0,0,0,5,3,0,1,0,0,9.0,42,25,17,6,21,
342,Denzel Perryman ,LAC,28,ilb,13,6,0,0,0,0,1,1,0,0,0,0,1.0,48,25,23,3,2,
343,Dalvin Tomlinson,NYG,26,NT,16,16,0,0,0,0,4,,,,,,3.5,49,25,24,8,10,
344,Jeremiah Attaochu,DEN,27,olb,13,5,,,,,,1,0,0,0,0,5.0,31,24,7,6,9,
345,Cody Barton,SEA,24,mlb,16,2,,,,,,2,0,0,0,0,0.0,35,24,11,0,0,
346,Kris Boyd,MIN,24,cb,10,5,0,0,0,0,2,1,0,0,0,0,0.0,34,24,10,1,0,
347,Landon Collins,WAS,26,ss,7,7,1,1,0,1,1,1,0,0,0,0,2.0,41,24,17,3,1,
348,William Gholston,TAM,29,DE,16,12,0,0,0,0,2,0,0,1,1,0,3.0,44,24,20,8,20,
349,Ronnie Harrison,CLE,23,ss,11,7,1,47,1,47,7,0,0,1,0,0,1.0,38,24,14,0,1,
350,Jeffery Simmons,TEN,23,DT,15,15,0,0,0,0,5,1,0,3,0,0,3.0,49,24,25,3,14,
351,Josh Sweat,PHI,23,de,14,3,0,0,0,0,2,3,0,0,0,0,6.0,38,24,14,9,12,
352,Jacob Tuioti-Mariner,ATL,24,,16,0,0,0,0,0,2,1,0,3,1,0,1.0,31,24,7,1,5,
353,Olivier Vernon,CLE,30,DE,14,13,0,0,0,0,3,1,0,1,0,0,9.0,36,24,12,12,16,1
354,Mack Wilson,CLE,22,olb,13,8,0,0,0,0,2,,,,,,0.0,39,24,15,1,0,
355,Bud Dupree,PIT,27,OLB,11,11,0,0,0,0,2,2,0,0,0,0,8.0,31,23,8,8,15,
356,Deshazor Everett,WAS,28,ss,11,6,0,0,0,0,4,1,0,0,0,0,0.0,31,23,8,0,0,
357,Kyler Fackrell,NYG,29,olb,12,9,1,46,1,46,2,1,0,0,0,0,4.0,34,23,11,7,10,
358,Darnay Holmes,NYG,22,cb,12,5,1,0,0,0,5,0,0,1,0,0,0.5,30,23,7,0,2,
359,Chris Jones*,KAN,26,DT,15,14,0,0,0,0,4,2,0,0,0,0,7.5,36,23,13,3,28,1
360,Arthur Maulet,NYJ,27,cb,11,5,1,20,0,20,5,,,,,,1.0,29,23,6,0,1,
361,Bradley McDougald,NYJ,30,ss,7,7,0,0,0,0,3,0,0,1,-2,0,0.0,36,23,13,0,0,
362,Barkevious Mingo,CHI,30,olb,16,3,0,0,0,0,2,,,,,,2.5,35,23,12,3,5,
363,Yannick Ngakoue,2TM,25,,15,8,0,0,0,0,1,4,0,0,0,0,8.0,23,23,0,7,11,
364,Derrick Nnadi,KAN,24,NT,15,15,,,,,,,,,,,0.0,47,23,24,0,1,
365,Larry Ogunjobi,CLE,26,DT,15,15,,,,,,1,0,0,0,0,2.5,46,23,23,5,6,
366,Ed Oliver,BUF,23,DT,16,16,0,0,0,0,3,1,0,0,0,0,3.0,33,23,10,6,6,
367,Jimmy Smith,BAL,32,cb,11,5,0,0,0,0,1,0,0,1,4,0,1.0,27,23,4,2,1,
368,Logan Wilson ,CIN,24,ilb,12,2,2,0,0,0,3,,,,,,1.0,33,23,10,4,2,
369,Tavon Wilson,IND,30,ss,15,2,0,0,0,0,1,0,0,1,0,0,0.0,26,23,3,2,0,
370,Azeez Al-Shaair,SFO,23,mlb,16,5,1,0,0,0,2,1,0,0,0,0,0.0,35,22,13,1,1,
371,,,,,,,,,,,,,,,,,,,,,,,
372,Alex Anzalone,NOR,26,ilb,16,9,,,,,,,,,,,0.0,41,22,19,3,0,
373,Anthony Averett,BAL,26,cb,10,4,0,0,0,0,7,,,,,,0.0,27,22,5,0,0,
374,Breon Borders,TEN,25,cb,6,5,1,0,0,0,5,,,,,,0.0,27,22,5,1,0,
375,Justin Coleman,DET,27,cb,11,5,0,0,0,0,1,,,,,,0.0,30,22,8,3,0,
376,Folorunso Fatukasi,NYJ,25,dt,15,8,0,0,0,0,2,1,0,1,2,0,2.0,42,22,20,6,5,
377,Trey Hendrickson,NOR,26,DE,15,15,0,0,0,0,1,1,0,0,0,0,13.5,25,22,3,12,25,
378,Donte Jackson,CAR,25,CB,14,13,3,110,0,66,11,,,,,,0.0,34,22,12,1,0,
379,Jaleel Johnson,MIN,26,DT,16,16,,,,,,,,,,,1.5,44,22,22,3,2,
380,Kevin Johnson,CLE,28,cb,13,6,0,0,0,0,3,1,0,1,0,0,0.5,35,22,13,0,3,
381,Mario Addison,BUF,33,de,15,7,0,0,0,0,4,,,,,,5.0,30,21,9,7,8,
382,Dorance Armstrong Jr.,DAL,23,de,16,2,0,0,0,0,2,1,0,2,0,0,0.0,33,21,12,1,1,
383,Damon Arnette ,LVR,24,cb,9,7,0,0,0,0,2,,,,,,0.0,25,21,4,1,0,
384,Derek Barnett ,PHI,24,de,13,10,,,,,,,,,,,5.5,34,21,13,6,16,
385,Essang Bassey,DEN,22,cb,12,3,1,26,0,26,2,0,0,1,0,0,0.0,23,21,2,3,0,
386,De'Vante Bausby,2TM,27,,11,3,0,0,0,0,5,,,,,,0.0,21,21,0,0,0,
387,A.J. Bouye,DEN,29,cb,7,7,0,0,0,0,6,,,,,,0.0,23,21,2,0,0,
388,Michael Brockers ,LAR,30,DE,15,15,,,,,,,,,,,5.0,51,21,30,5,10,
389,Derrick Brown ,CAR,22,DT,16,15,0,0,0,0,4,,,,,,2.0,34,21,13,8,12,
390,Jermaine Carter Jr.,CAR,25,olb,16,7,0,0,0,0,1,0,0,1,19,0,0.0,46,21,25,2,0,
391,Frank Clark *,KAN,27,DE,15,15,0,0,0,0,2,0,0,1,14,0,6.0,29,21,8,8,15,
392,Jaylon Ferguson,BAL,25,olb,14,1,0,0,0,0,1,0,0,1,0,0,2.0,30,21,9,7,5,
393,Morgan Fox,LAR,26,de,16,2,0,0,0,0,2,1,0,1,0,0,6.0,27,21,6,8,9,
394,Kamu Grugier-Hill,MIA,26,ilb,15,1,,,,,,0,0,1,0,0,1.0,28,21,7,1,2,
395,Josh Jackson,GNB,24,cb,12,5,0,0,0,0,2,,,,,,0.0,26,21,5,1,0,
396,Sidney Jones,JAX,24,cb,9,6,2,1,0,1,9,1,0,0,0,0,0.0,26,21,5,0,0,
397,Steven Means,ATL,30,DE,16,11,,,,,,2,0,0,0,0,3.0,38,21,17,3,6,
398,A.J. Moore,HOU,25,fs,11,5,0,0,0,0,1,1,0,0,0,0,1.0,35,21,14,1,2,
399,Josh Norman,BUF,33,cb,9,3,1,16,1,16,4,1,0,2,7,0,0.0,24,21,3,2,0,
400,Will Redmond,GNB,27,ss,13,1,0,0,0,0,1,,,,,,0.0,28,21,7,0,2,
401,Dawuane Smoot,JAX,25,de,16,7,,,,,,2,0,0,0,0,5.5,25,21,4,5,17,
402,,,,,,,,,,,,,,,,,,,,,,,
403,Zach Allen,ARI,23,dt,13,7,0,0,0,0,3,,,,,,2.0,35,20,15,5,6,
404,Denico Autry,IND,30,DE,14,13,,,,,,,,,,,7.5,33,20,13,9,10,
405,Chris Board,BAL,25,olb,16,2,0,0,0,0,1,1,0,0,0,0,2.5,31,20,11,2,5,
406,Jack Crawford ,TEN,32,dt,16,9,,,,,,1,0,0,0,0,2.0,28,20,8,3,10,
407,Maxx Crosby ,LVR,23,DE,16,16,0,0,0,0,1,0,0,1,0,0,7.0,39,20,19,14,13,
408,Akeem Davis-Gaither,CIN,23,olb,16,2,1,0,0,0,3,,,,,,0.5,31,20,11,0,2,
409,Carlos Dunlap,2TM,31,,15,10,0,0,0,0,4,,,,,,6.0,32,20,12,8,18,
410,Shelby Harris,DEN,29,DE,11,11,0,0,0,0,7,1,0,0,0,0,2.5,32,20,12,4,11,
411,Tanoh Kpassagnon,KAN,26,DE,16,15,0,0,0,0,3,,,,,,1.0,28,20,8,2,4,
412,Greg Mabin,JAX,26,cb,5,4,0,0,0,0,3,,,,,,0.0,21,20,1,0,0,
413,Uchenna Nwosu,LAC,24,de,13,4,0,0,0,0,2,,,,,,4.5,33,20,13,5,11,
414,David Onyemata,NOR,28,DT,15,15,1,3,0,3,2,,,,,,6.5,44,20,24,10,16,
415,Jarran Reed,SEA,28,DT,16,16,0,0,0,0,1,1,0,0,0,0,6.5,38,20,18,5,14,
416,Shamar Stephen,MIN,29,NT,16,16,,,,,,,,,,,0.5,34,20,14,2,3,
417,Jaquiski Tartt,SFO,28,ss,7,7,1,16,0,16,4,,,,,,0.0,30,20,10,1,0,
418,Jamar Taylor,SFO,30,cb,8,3,2,8,0,8,3,,,,,,1.0,22,20,2,2,2,
419,DeShawn Williams,DEN,28,DT,14,11,1,1,0,1,3,,,,,,2.0,37,20,17,4,6,
420,Marcus Allen,PIT,24,fs,14,2,,,,,,,,,,,0.0,30,19,11,2,2,
421,Henry Anderson,NYJ,29,de,16,8,,,,,,,,,,,0.5,42,19,23,4,3,
422,Tarell Basham,NYJ,26,olb,16,9,0,0,0,0,1,3,0,0,0,0,3.5,36,19,17,5,13,
423,Raekwon Davis ,MIA,23,NT,16,12,,,,,,,,,,,0.0,40,19,21,1,1,
424,Rashan Gary,GNB,23,olb,15,4,0,0,0,0,1,0,0,1,1,0,5.0,35,19,16,5,11,
425,Holton Hill,MIN,23,,4,2,0,0,0,0,3,,,,,,1.0,24,19,5,0,0,
426,Justin Houston,IND,31,DE,16,16,,,,,,1,0,2,0,0,8.0,25,19,6,8,12,2
427,Jerry Hughes,BUF,32,DE,15,15,1,-3,0,-3,3,2,0,2,21,1,4.5,29,19,10,4,11,
428,Justin Jones,LAC,24,DT,13,12,,,,,,,,,,,1.0,34,19,15,5,4,
429,Cre'von LeBlanc,PHI,26,cb,9,1,0,0,0,0,2,1,0,1,6,0,1.0,22,19,3,1,1,
430,Tyquan Lewis,IND,25,de,16,4,0,0,0,0,2,,,,,,4.0,24,19,5,8,6,
431,Benson Mayowa ,SEA,29,de,13,9,0,0,0,0,3,2,0,1,13,0,6.0,24,19,5,7,9,
432,Benardrick McKinney,HOU,28,ilb,4,4,0,0,0,0,1,,,,,,0.0,37,19,18,1,0,
433,,,,,,,,,,,,,,,,,,,,,,,
434,Al-Quadin Muhammad,IND,25,,16,0,,,,,,1,0,0,0,0,2.0,23,19,4,2,6,
435,Sharrod Neasman,ATL,29,cb,16,2,,,,,,0,1,0,0,0,1.0,27,19,8,2,1,
436,John Penisini ,DET,23,DT,16,12,,,,,,0,0,1,0,0,1.0,35,19,16,4,0,
437,Sheldrick Redwine,CLE,24,fs,15,3,1,8,0,8,1,,,,,,0.5,27,19,8,0,1,
438,Jerry Tillery,LAC,24,DT,16,11,0,0,0,0,2,2,0,1,0,0,3.0,30,19,11,3,14,
439,Brandon Williams,BAL,31,NT,13,13,0,0,0,0,2,,,,,,0.0,33,19,14,2,1,
440,Derek Wolfe,BAL,30,de,14,8,0,0,0,0,2,0,0,1,0,0,1.0,51,19,32,6,4,
441,Ricardo Allen,ATL,29,CB,12,12,2,29,0,19,5,,,,,,0.0,25,18,7,1,0,
442,Adam Butler,NWE,26,dt,15,4,0,0,0,0,2,,,,,,4.0,34,18,16,6,7,
443,Calais Campbell*,BAL,34,DT,12,12,0,0,0,0,6,,,,,,4.0,28,18,10,5,10,
444,Samson Ebukam,LAR,25,OLB,16,14,0,0,0,0,1,1,0,0,0,0,4.5,31,18,13,3,7,
445,Clelin Ferrell,LVR,23,DE,11,11,0,0,0,0,3,2,0,0,0,0,2.0,27,18,9,3,10,
446,Phillip Gaines,HOU,29,cb,12,2,0,0,0,0,1,,,,,,0.0,24,18,6,0,0,
447,Adam Gotsis,JAX,28,DE,16,14,0,0,0,0,3,1,0,0,0,0,0.0,37,18,19,4,3,
448,Everson Griffen,2TM,33,,14,2,0,0,0,0,4,,,,,,6.0,33,18,15,7,14,
449,P.J. Hall,HOU,25,dt,10,9,,,,,,,,,,,1.0,34,18,16,2,2,
450,Justin Hollins,LAR,24,,16,0,0,0,0,0,1,1,0,0,0,0,3.0,28,18,10,3,5,
451,Chris Jones,2TM,25,,9,3,,,,,,,,,,,0.0,19,18,1,0,0,
452,Carl Lawson,CIN,25,DE,16,11,,,,,,2,0,0,0,0,5.5,36,18,18,4,32,
453,David Mayo ,NYG,27,ilb,11,2,,,,,,1,0,0,0,0,0.0,29,18,11,2,0,
454,Brennan Scarlett,HOU,27,olb,11,4,,,,,,,,,,,0.0,28,18,10,0,1,
455,M.J. Stewart,CLE,25,,16,0,2,51,0,30,3,,,,,,1.0,22,18,4,2,1,
456,Deionte Thompson,ARI,23,ss,13,4,0,0,0,0,3,,,,,,0.0,27,18,9,0,1,
457,Tanner Vallejo,ARI,26,,16,0,,,,,,,,,,,1.0,26,18,8,0,2,
458,Tyson Alualu,PIT,33,de,15,10,0,0,0,0,5,1,0,0,0,0,2.0,38,17,21,4,5,
459,Corey Ballentine,2TM,24,,15,2,,,,,,,,,,,0.0,20,17,3,0,0,
460,Tyus Bowser,BAL,25,olb,16,2,3,53,0,25,5,,,,,,2.0,34,17,17,4,14,
461,Markus Golden,2TM,29,,16,9,1,1,0,1,3,1,0,1,30,0,4.5,33,17,16,6,20,
462,Dontae Johnson,SFO,29,cb,14,3,0,0,0,0,3,,,,,,1.0,23,17,6,1,2,
463,Damontae Kazee,ATL,27,ss,4,4,,,,,,1,0,0,0,0,0.0,20,17,3,0,0,
464,,,,,,,,,,,,,,,,,,,,,,,
465,Shaq Lawson,MIA,26,olb,14,7,0,0,0,0,1,1,0,1,36,1,4.0,32,17,15,4,18,
466,Frankie Luvu,NYJ,24,olb,13,3,0,0,0,0,1,1,0,0,0,0,2.0,25,17,8,3,3,1
467,Kamal Martin,GNB,22,lb,10,6,,,,,,,,,,,1.0,24,17,7,3,1,
468,Raekwon McMillan,LVR,25,ilb,16,4,0,0,0,0,1,1,0,0,0,0,0.0,27,17,10,1,0,
469,Carl Nassib,LVR,27,de,14,5,1,23,0,23,5,,,,,,2.5,28,17,11,5,9,
470,Isaac Rochell,LAC,25,de,16,6,0,0,0,0,1,,,,,,2.5,29,17,12,1,3,1
471,Shy Tuttle,NOR,25,dt,13,3,0,0,0,0,2,,,,,,0.0,28,17,11,2,1,
472,Brent Urban ,CHI,29,dt,16,8,0,0,0,0,1,,,,,,2.5,36,17,19,2,4,
473,Carlos Watkins,HOU,27,DE,16,11,0,0,0,0,3,0,0,1,0,0,2.0,27,17,10,4,2,
474,K'Waun Williams,SFO,29,cb,8,4,0,0,0,0,4,1,0,0,0,0,2.0,22,17,5,5,2,
475,Ahkello Witherspoon,SFO,25,cb,11,4,1,0,0,0,4,,,,,,0.0,20,17,3,1,0,
476,Daryl Worley,3TM,25,,10,5,0,0,0,0,3,,,,,,0.0,22,17,5,0,0,
477,Terrence Brooks,NWE,28,ss,14,2,,,,,,,,,,,0.0,23,16,7,0,1,
478,Devin Bush Jr.,PIT,22,ilb,5,5,0,0,0,0,3,,,,,,1.0,26,16,10,0,2,
479,Tevaughn Campbell ,LAC,27,cb,14,4,1,6,1,6,3,1,0,0,0,0,0.0,22,16,6,0,1,
480,L.J. Collier,SEA,25,DE,16,16,0,0,0,0,2,,,,,,3.0,22,16,6,4,7,
481,Michael Danna,KAN,23,de,13,1,,,,,,,,,,,2.5,25,16,9,4,6,
482,Todd Davis ,MIN,28,ilb,11,6,0,0,0,0,2,,,,,,1.0,35,16,19,2,1,
483,Javon Hargrave,PHI,27,DT,15,11,0,0,0,0,1,0,0,1,0,0,4.5,38,16,22,5,8,
484,Jalyn Holmes,MIN,24,de,14,9,0,0,0,0,2,,,,,,0.0,36,16,20,2,4,
485,Dean Marlowe ,BUF,28,ss,15,4,2,39,0,23,3,0,0,1,0,0,1.5,22,16,6,2,2,
486,Bilal Nichols ,CHI,24,NT,16,16,1,7,0,7,3,,,,,,5.0,40,16,24,7,13,
487,Ifeadi Odenigbo,MIN,26,DE,15,15,,,,,,,,,,,3.5,35,16,19,3,15,1
488,Jamal Perry ,MIA,26,cb,13,1,0,0,0,0,1,,,,,,0.0,26,16,10,0,0,
489,Richard Sherman,SFO,32,cb,5,5,1,18,0,18,1,,,,,,0.0,18,16,2,1,0,
490,Daniel Thomas,JAX,22,ss,10,2,1,53,0,53,2,,,,,,0.0,18,16,2,0,0,
491,Jalen Thompson,ARI,22,fs,5,4,0,0,0,0,1,,,,,,0.0,19,16,3,0,0,
492,Desmond Trufant,DET,30,cb,6,6,1,0,0,0,4,,,,,,1.0,20,16,4,1,1,
493,D.J. Wonnum,MIN,23,de,14,2,0,0,0,0,1,1,0,0,0,0,3.0,24,16,8,5,9,
494,Angelo Blackson,ARI,28,dt,16,9,,,,,,,,,,,2.5,24,15,9,4,8,
