,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
35,De'Vondre Campbell,ARI,27,ILB,16,16,0,0,0,0,3,1,0,0,0,0,2.0,99,69,30,7,2,
36,Malcolm Jenkins,NOR,33,SS,16,16,3,58,0,48,10,1,0,1,0,0,2.5,91,69,22,7,6,
37,Eric Kendricks,MIN,28,ILB,11,11,3,0,0,0,6,,,,,,0.0,107,69,38,4,1,
38,Jeremy Chinn ,CAR,22,FS,15,15,1,0,0,0,5,2,0,2,45,2,1.0,117,68,49,2,5,
39,Kenny Moore,IND,25,CB,16,14,4,45,1,29,13,1,0,0,0,0,2.0,80,68,12,4,3,
40,Kenneth Murray ,LAC,22,OLB,16,16,0,0,0,0,3,,,,,,1.0,107,68,39,5,1,
41,Logan Ryan,NYG,29,FS,16,15,1,15,0,15,9,3,0,2,0,0,1.0,94,68,26,1,4,
42,Daniel Sorensen,KAN,30,FS,15,11,3,67,1,50,5,2,0,0,0,0,0.0,91,68,23,2,4,
43,Vonn Bell,CIN,26,SS,16,16,0,0,0,0,5,3,0,2,65,0,0.0,114,67,47,3,4,
44,Kareem Jackson,DEN,32,CB,16,16,1,13,0,13,4,0,0,2,2,0,0.0,89,67,22,1,0,
45,Josey Jewell,DEN,26,ILB,16,16,0,0,0,0,4,,,,,,2.0,113,67,46,5,5,
46,Danny Trevathan,CHI,30,ILB,16,16,0,0,0,0,5,1,0,0,0,0,1.0,113,67,46,3,2,
47,Patrick Queen ,BAL,21,MLB,16,16,1,0,0,0,2,2,0,2,53,1,3.0,106,66,40,9,10,
48,Eric Rowe,MIA,28,SS,16,14,2,26,0,22,11,0,0,1,0,0,0.0,91,66,25,1,2,
49,Adrian Amos,GNB,27,FS,16,16,2,47,0,24,9,0,0,1,0,0,2.0,83,65,18,4,3,
50,Anthony Walker,IND,25,MLB,16,16,1,11,0,11,5,0,0,1,0,0,0.0,92,65,27,2,1,
51,Khari Willis,IND,24,SS,14,14,2,93,1,50,6,1,0,0,0,0,2.0,85,65,20,3,4,
52,Tre Herndon,JAX,24,CB,16,12,0,0,0,0,5,,,,,,1.0,76,64,12,4,2,
53,Shaq Thompson,CAR,26,OLB,16,15,0,0,0,0,5,2,0,1,0,0,0.0,114,64,50,6,2,
54,Tracy Walker,DET,25,fs,15,7,0,0,0,0,4,,,,,,1.0,87,64,23,5,2,
55,Antoine Winfield Jr.,TAM,22,FS,16,16,1,16,0,16,6,2,0,1,0,0,3.0,94,64,30,1,4,
56,Kamren Curl,WAS,21,FS,16,11,3,88,1,76,4,,,,,,2.0,88,63,25,4,5,
57,Jeff Gladney ,MIN,24,CB,16,15,0,0,0,0,3,1,0,0,0,0,0.0,81,63,18,7,1,
58,Eddie Jackson ,CHI,27,SS,16,16,0,0,0,0,5,3,0,1,8,1,0.0,82,63,19,1,0,
59,Nicholas Morrow,LVR,25,OLB,14,11,1,6,0,6,9,1,0,1,0,0,3.0,78,62,16,8,6,
60,Justin Reid,HOU,23,SS,13,13,0,0,0,0,4,,,,,,2.0,83,62,21,6,4,
61,,,,,,,,,,,,,,,,,,,,,,,
62,Kenny Vaccaro,TEN,29,SS,13,13,0,0,0,0,5,0,0,1,53,0,1.0,83,62,21,6,1,
63,Eric Wilson,MIN,26,OLB,16,15,3,23,0,16,8,1,0,2,7,0,3.0,122,62,60,8,9,
64,Jonathan Bostic,WAS,29,ILB,16,15,1,0,0,0,3,,,,,,3.0,118,61,57,6,6,
65,Tre Boston,CAR,28,FS,16,16,1,0,0,0,4,1,0,2,0,0,1.0,95,61,34,3,2,
66,Dre Greenlaw,SFO,23,OLB,13,11,0,0,0,0,1,,,,,,1.0,86,61,25,7,2,
67,Vernon Hargreaves III,HOU,25,CB,16,16,1,0,0,0,7,,,,,,0.0,72,61,11,1,0,
68,AJ Terrell ,ATL,22,CB,14,14,1,0,0,0,7,3,0,0,0,0,0.0,74,61,13,3,1,
69,Johnathan Abram ,LVR,24,SS,13,13,2,29,0,24,6,0,0,1,0,0,0.0,86,60,26,3,4,
70,Minkah Fitzpatrick*+,PIT,24,SS,16,16,4,77,1,37,11,1,0,1,-1,0,0.0,79,60,19,1,0,
71,Jonathan Jones,NWE,27,cb,16,7,2,0,0,0,6,1,0,0,0,0,0.0,74,60,14,0,1,
72,K.J. Wright,SEA,31,OLB,16,16,1,7,0,7,10,1,0,2,0,0,2.0,86,60,26,11,3,
73,Jamal Adams *,SEA,25,SS,12,12,0,0,0,0,3,1,0,0,0,0,9.5,83,59,24,11,14,
74,Rashaan Evans,TEN,25,ILB,16,16,0,0,0,0,5,0,0,1,25,0,0.5,96,59,37,1,4,
75,B.J. Goodson,CLE,27,ILB,14,14,2,7,0,7,6,0,0,1,0,0,0.5,91,59,32,2,3,
76,Josh Jones,JAX,26,SS,13,13,1,0,0,0,1,,,,,,0.0,83,59,24,0,0,
77,Jalen Mills ,PHI,26,SS,15,15,1,5,0,5,3,1,0,0,0,0,1.5,74,59,15,4,5,
78,Nasir Adderley,LAC,23,FS,15,14,1,39,0,39,3,0,0,1,1,0,0.0,69,58,11,0,1,
79,Anthony Harris,MIN,29,FS,16,16,0,0,0,0,7,,,,,,0.0,104,58,46,2,0,
80,Rayshawn Jenkins,LAC,26,SS,15,15,2,23,0,23,4,,,,,,1.0,84,58,26,4,1,
81,Chuck Clark,BAL,25,SS,16,16,1,0,0,0,4,2,1,3,66,1,1.5,96,57,39,3,4,
82,Bobby Okereke,IND,24,mlb,14,8,1,7,0,7,6,0,0,2,11,0,0.0,72,57,15,4,1,
83,Jabrill Peppers ,NYG,25,SS,15,14,1,6,0,6,11,1,0,1,0,0,2.5,91,57,34,8,3,
84,Lonnie Johnson Jr.,HOU,25,cb,16,5,,,,,,,,,,,0.0,76,56,20,1,3,
85,Cory Littleton,LVR,27,OLB,14,14,,,,,,,,,,,0.0,82,56,26,4,0,
86,Trayvon Mullen,LVR,23,CB,16,16,2,0,0,0,14,,,,,,0.0,64,56,8,2,0,
87,Darnell Savage Jr.,GNB,23,SS,15,15,4,13,0,9,12,0,0,1,0,0,1.0,75,56,19,3,2,
88,Jamie Collins,DET,31,OLB,14,14,1,1,0,1,6,3,0,1,0,0,1.0,101,55,46,6,3,
89,Troy Hill,LAR,29,CB,16,16,3,119,2,84,10,1,0,2,20,1,0.0,77,55,22,1,0,
90,Michael Ojemudia ,DEN,23,CB,16,11,0,0,0,0,6,4,0,0,0,0,0.0,62,55,7,1,0,
91,Germaine Pratt,CIN,24,OLB,16,15,0,0,0,0,2,,,,,,0.0,89,55,34,5,0,
92,,,,,,,,,,,,,,,,,,,,,,,
93,Duron Harmon,DET,29,SS,16,16,2,22,0,21,5,,,,,,0.0,73,54,19,0,1,
94,Terrance Mitchell ,CLE,28,CB,16,16,0,0,0,0,13,3,0,0,0,0,0.0,65,54,11,2,0,
95,Harrison Smith,MIN,31,SS,16,16,5,33,0,16,10,,,,,,0.5,89,54,35,2,5,
96,Josh Bynes,CIN,31,ILB,16,16,0,0,0,0,2,0,0,1,0,0,1.0,99,53,46,5,2,
97,Shaquill Griffin ,SEA,25,CB,12,12,3,20,0,16,12,,,,,,0.0,63,53,10,2,0,
98,Lamarcus Joyner,LVR,30,cb,14,6,0,0,0,0,5,,,,,,0.0,66,53,13,6,0,
99,Dre Kirkpatrick,ARI,31,CB,14,11,3,13,0,13,7,,,,,,0.0,56,53,3,0,0,
100,A.J. Klein,BUF,29,OLB,16,11,0,0,0,0,4,2,0,1,0,0,5.0,75,53,22,5,9,
101,Nick Kwiatkoski,LVR,27,ILB,12,12,1,9,0,9,4,1,0,0,0,0,1.0,81,53,28,3,2,
102,Sean Murphy-Bunting,TAM,23,CB,16,13,1,0,0,0,3,1,0,1,3,0,0.0,70,53,17,3,1,
103,Troy Reeder ,LAR,26,ilb,16,7,0,0,0,0,2,,,,,,3.0,81,53,28,5,4,
